Citation,Manner,Cleaned_Citation
 الدال على الخير كفاعله.,Sentiment: positive,"['الدال', 'الخير', 'كفاعله']"
 الرفق بالجاني عتاب.,Good Moral: رِفَق,"['الرفق', 'بالجاني', 'عتاب']"
 الشريف إذا تَقَوَّى تواضع والوضيع إذا تَقَوَّى تكبر.,Sentiment: positive,"['الشريف', 'تقوى', 'تواضع', 'الوضيع', 'تقوى', 'تكبر']"
 الصدق دليل التقوى.,Good Moral: صِدْق,"['الصدق', 'دليل', 'التقوى']"
 الصدق يحسن بالفتى والكذب يحسب من عيوبه.,Good Moral: صِدْق,"['الصدق', 'يحسن', 'بالفتى', 'الكذب', 'يحسب', 'عيوبه']"
 الضحك بلا سبب مِن قلّة الأدب.,Sentiment: negative,"['الضحك', 'بلا', 'سبب', 'قلة', 'الأدب']"
 العِتاب خير من الحقد.,Blameworthy Moral: الحقد,"['العتاب', 'خير', 'الحقد']"
 العِتاب صابون القلب.,Sentiment: positive,"['العتاب', 'صابون', 'القلب']"
 العفّة جيش لا يُهزم.,Good Moral: عَفّ,"['العفة', 'جيش', 'يهزم']"
 العفو عند المقدرة.,Sentiment: positive,"['العفو', 'المقدرة']"
 العفو يصلح الكريم ويفسد اللئيم.,Sentiment: positive,"['العفو', 'يصلح', 'الكريم', 'يفسد', 'اللئيم']"
 الغنى في يد اللئيم قبيح قدر قبح الكريم في الإملاق.,Sentiment: neutral,"['الغنى', 'يد', 'اللئيم', 'قبيح', 'قدر', 'قبح', 'الكريم', 'الإملاق']"
 الفضل ما شهدت به الأعداء.,Sentiment: positive,"['الفضل', 'شهدت', 'الأعداا']"
 القدوة الحسنة خير من النصيحة.,Good Moral: نَصِيح,"['القدوة', 'الحسنة', 'خير', 'النصيحة']"
 القدوة الحسنة خير من الوصية.,Sentiment: positive,"['القدوة', 'الحسنة', 'خير', 'الوصية']"
 القناعة كنز لا يفنى.,Good Moral: القناعة,"['القناعة', 'كنز', 'يفنى']"
 الكذب داء والصدق دواء.,Blameworthy Moral: كِذْب,"['الكذب', 'داا', 'الصدق', 'دواا']"
 الكريم من أكرم الأحرار.,Sentiment: positive,"['الكريم', 'أكرم', 'الأحرار']"
 الكريم يظلم من فوقه واللئيم يظلم من تحته.,Sentiment: neutral,"['الكريم', 'يظلم', 'فوقه', 'اللئيم', 'يظلم', 'تحته']"
 المؤمن كالنحلة تأكل طيباً وتضع طيباً.,Sentiment: positive,"['المامن', 'كالنحلة', 'تأكل', 'طيبا', 'تضع', 'طيبا']"
 المرء بالأخلاق يسمو ذكره.,Sentiment: positive,"['المرا', 'بالأخلاق', 'يسمو', 'ذكره']"
 النظافة من الإيمان.,Good Moral: نَظاف,"['النظافة', 'الإيمان']"
 النعمة عروس مهرها الشكر.,Good Moral: الشكر,"['النعمة', 'عروس', 'مهرها', 'الشكر']"
 الوعد سحاب والإنجاز مطره.,Sentiment: positive,"['الوعد', 'سحاب', 'الإنجاز', 'مطره']"
 أملك الناس لنفسه من كتم سره.,Sentiment: neutral,"['أملك', 'الناس', 'لنفسه', 'كتم', 'سره']"
 إن الله يحب معالي الأمور ويبغض سفاسفها.,Sentiment: positive,"['الله', 'يحب', 'معالي', 'الأمور', 'يبغض', 'سفاسفها']"
 إن المقْدِرة تُذْهِبَ الحفيظة.,Sentiment: negative,"['المقدرة', 'تذهب', 'الحفيظة']"
 المرء بأصغريه: قلبه ولسانه.,Sentiment: positive,"['المرا', 'بأصغريه', 'قلبه', 'لسانه']"
 إنما سُمِّيتَ هانئاً لتهنأ.,Sentiment: negative,"['سميت', 'هانئا', 'لتهنأ']"
 إنه نسيج وحده.,Sentiment: positive,"['نسيج', 'حده']"
 أولى الناس بالعفو أقدرهم على العقوبة.,Sentiment: neutral,"['أولى', 'الناس', 'بالعفو', 'أقدرهم', 'العقوبة']"
 إياك وما يعتذر منه.,Sentiment: negative,['يعتذر']
 بِشْرُ الكريم في وجهه يلوح.,Sentiment: positive,"['بشر', 'الكريم', 'جهه', 'يلوح']"
 بيت المحسن عمار.,Sentiment: positive,"['بيت', 'المحسن', 'عمار']"
 تاج المروءة التواضع.,Good Moral: تَواضُع,"['تاج', 'المرواة', 'التواضع']"
 ترك الذنب أيسر من الاعتذار.,Sentiment: neutral,"['الذنب', 'أيسر', 'الاعتذار']"
 تمام الصدق الإخبار بما تحمله العقول.,Good Moral: صِدْق,"['تمام', 'الصدق', 'الإخبار', 'تحمله', 'العقول']"
 تناسَ مساوئ الاخوان يدم لك وُدُّهُمْ.,Sentiment: negative,"['تناس', 'مساوئ', 'الاخوان', 'يدم', 'دهم']"
 حُسْنُ الخلق خير قرين.,Sentiment: positive,"['حسن', 'الخلق', 'خير', 'قرين']"
 حُسْنُ الخلق يذيب الخطايا كما تذيب الشمس الجليد.,Sentiment: neutral,"['حسن', 'الخلق', 'يذيب', 'الخطايا', 'تذيب', 'الشمس', 'الجليد']"
 حُسْنُ الخلق يوجب المودة.,Sentiment: positive,"['حسن', 'الخلق', 'يوجب', 'المودة']"
 حق من كتب بمسك أن يختم بعنبر.,Sentiment: negative,"['حق', 'كتب', 'بمسك', 'يختم', 'بعنبر']"
 خلقت مُبَرَّأً من كل عيب كأنك قد خُلقْتَ كما تشاء.,Sentiment: positive,"['خلقت', 'مبرأ', 'عيب', 'كأنك', 'خلقت', 'تشاا']"
 خير الناس للناس خيرهم لنفسه.,Sentiment: positive,"['خير', 'الناس', 'للناس', 'خيرهم', 'لنفسه']"
 خير الناس من فرح للناس بالخير.,Sentiment: positive,"['خير', 'الناس', 'فرح', 'للناس', 'بالخير']"
 خير صِلاتِ الكريم أَعْوَدُها.,Sentiment: positive,"['خير', 'صلات', 'الكريم', 'أعودها']"
 ساقي القوم آخرهم شراباً.,Sentiment: negative,"['ساقي', 'القوم', 'آخرهم', 'شرابا']"
 سر النجاح على الدوام هو أن تسير إلى الأمام.,Sentiment: positive,"['سر', 'النجاح', 'الدوام', 'تسير', 'الأمام']"
 سيد القوم خادمهم.,Sentiment: positive,"['سيد', 'القوم', 'خادمهم']"
 شكرت جميل صنعكم بدمعي ودمع العين مقياس الشعور.,Sentiment: positive,"['شكرت', 'جميل', 'صنعكم', 'بدمعي', 'دمع', 'العين', 'مقياس', 'الشعور']"
 صلاح أمرك بالأخلاق مرجعه فَقَوِّم النفس بالأخلاق تستقم.,Sentiment: positive,"['صلاح', 'أمرك', 'بالأخلاق', 'مرجعه', 'فقوم', 'النفس', 'بالأخلاق', 'تستقم']"
 عامل الناس برأي رفيق والقِ من تلقى بوجه طليق.,Sentiment: neutral,"['عامل', 'الناس', 'برأي', 'رفيق', 'الق', 'تلقى', 'بوجه', 'طليق']"
 عامل الناس بما تحب أن يعاملوك به.,Sentiment: positive,"['عامل', 'الناس', 'تحب', 'يعاملوك']"
 فرط الأنس مكسبة لقرناء السوء.,Sentiment: negative,"['فرط', 'الأنس', 'مكسبة', 'لقرناا', 'السوا']"
 فلان دُرَّةُ التاج وواسطة العقد.,Sentiment: negative,"['درة', 'التاج', 'واسطة', 'العقد']"
 قلب المؤمن دليله.,Sentiment: positive,"['قلب', 'المامن', 'دليله']"
 قليل في الجيب خير من كثير في الغيب.,Sentiment: positive,"['قليل', 'الجيب', 'خير', 'كثير', 'الغيب']"
 كل امرئ بما يحسنه.,Sentiment: positive,"['امرئ', 'يحسنه']"
 إن السؤال يُذِلُّ قوماً كذلك يعز قوم بالعطاء.,Good Moral: عِزّ,"['الساال', 'يذل', 'قوما', 'يعز', 'قوم', 'بالعطاا']"
 لا تشن وجه العفو بالتأنيب.,Sentiment: negative,"['تشن', 'جه', 'العفو', 'بالتأنيب']"
 لا تكن حلواً فتؤكل ولا مراً فترمى.,Sentiment: neutral,"['تكن', 'حلوا', 'فتاكل', 'مرا', 'فترمى']"
 لا تمازح الشريف فيحنق عليك ولا الدنيء فيتجرأ عليك.,Sentiment: neutral,"['تمازح', 'الشريف', 'فيحنق', 'الدنيا', 'فيتجرأ']"
 لا تنه عن خلق وتأتي مثله عار عليك إذا فعلت عظيم.,Sentiment: negative,"['تنه', 'خلق', 'تأتي', 'مثله', 'عار', 'فعلت', 'عظيم']"
 لا خير فيمن لا يَأْلَفُ ولا يؤلف.,Sentiment: positive,"['خير', 'فيمن', 'يألف', 'يالف']"
 لكل مقام مقال ولكل زمان رجال.,Sentiment: positive,"['لكل', 'مقام', 'مقال', 'لكل', 'زمان', 'رجال']"
 للشدائد تُدَّخَرُ الرجال.,Sentiment: positive,"['للشدائد', 'تدخر', 'الرجال']"
 لو كان الكذب ينجي فالصدق أنجى.,Blameworthy Moral: كِذْب,"['الكذب', 'ينجي', 'فالصدق', 'أنجى']"
 ما كل من قال قولاً وفى.,Sentiment: neutral,"['قال', 'قولا', 'فى']"
 مِن حسن إسلام المرء تَرْكُهُ ما لا يعنيه.,Sentiment: negative,"['حسن', 'إسلام', 'المرا', 'تركه', 'يعنيه']"
 معاتبة الاخوان خير من فقدهم.,Sentiment: negative,"['معاتبة', 'الاخوان', 'خير', 'فقدهم']"
 من تواضع لله رفعه.,Sentiment: positive,"['تواضع', 'لله', 'رفعه']"
 من حسن خُلُقُه استراح وأراح.,Sentiment: positive,"['حسن', 'خلقه', 'استراح', 'أراح']"
 مِن حسن خُلقُه وجب حقُّه.,Sentiment: positive,"['حسن', 'خلقه', 'جب', 'حقه']"
 مَن شابه أباه فما ظلم.,Blameworthy Moral: ظُلْم,"['شابه', 'أباه', 'فما', 'ظلم']"
 مَن شَبَّ على شيء شاب عليه.,Sentiment: negative,"['شب', 'شيا', 'شاب']"
 من عرف نفسه عرف ربه.,Sentiment: positive,"['عرف', 'نفسه', 'عرف', 'ربه']"
 من لم يقنع باليسير لم يكتفِ بالكثير.,Sentiment: negative,"['يقنع', 'باليسير', 'يكتف', 'بالكثير']"
 نعم الثوب العافية إذا انسدل على الكفاف.,Sentiment: positive,"['الثوب', 'العافية', 'انسدل', 'الكفاف']"
 نعم العون على المروءة المال.,Sentiment: positive,"['العون', 'المرواة', 'المال']"
 نعم المؤَدِّبُ الدهر.,Sentiment: positive,"['المادب', 'الدهر']"
 نعم حاجب الشهوات غض البصر.,Sentiment: neutral,"['حاجب', 'الشهوات', 'غض', 'البصر']"
 هذا الشبل من ذاك الأسد.,Sentiment: positive,"['الشبل', 'الأسد']"
 هي الأخلاق تنبت كالنبات إذا سقيت بماء المكرمات.,Sentiment: positive,"['الأخلاق', 'تنبت', 'كالنبات', 'سقيت', 'بماا', 'المكرمات']"
 هيهات تكتم في الظلام مشاعل.,Sentiment: negative,"['تكتم', 'الظلام', 'مشاعل']"
 إنما الأمم الأخلاق ما بقيت فإنّ هم ذهبت أخلاقهم ذهبوا.,Sentiment: neutral,"['الأمم', 'الأخلاق', 'بقيت', 'ذهبت', 'أخلاقهم', 'ذهبوا']"
 إني وإن كنت الأخير زمانه لآت بما لم تستطعه الأوائل.,Sentiment: neutral,"['كنت', 'الأخير', 'زمانه', 'لآت', 'تستطعه', 'الأوائل']"
 أي الناس ليس به عيوب.,Sentiment: positive,"['الناس', 'عيوب']"
 تأتي على قدر الكرام المكارم.,Sentiment: positive,"['تأتي', 'قدر', 'الكرام', 'المكارم']"
 تعظم في عين الصغير صغارها وتصغر في عين العظيم العظائم.,Sentiment: positive,"['تعظم', 'الصغير', 'صغارها', 'تصغر', 'العظيم', 'العظائم']"
 مهما يكن عند أمرئ من خَليقَةٍ وإن خالها تَخْفَى على الناس تُعْلَمِ.,Sentiment: positive,"['يكن', 'أمرئ', 'خليقة', 'خالها', 'تخفى', 'الناس', 'تعلم']"
 ليست الأخلاق أن تكون صالحا فحسب، بل أن تكون صالحاً لشيء ما.,Sentiment: positive,"['الأخلاق', 'تكون', 'صالحا', 'فحسب', 'تكون', 'صالحا', 'لشيا']"
 إجتنب مصاحبة الكذاب فإن اضطررت إليه فلا تُصَدِّقْهُ.,Sentiment: neutral,"['إجتنب', 'مصاحبة', 'الكذاب', 'اضطررت', 'إليه', 'تصدقه']"
 إجهل الناس من كان على السلطان مدلاً وللإخوان مذلاً.,Sentiment: negative,"['إجهل', 'الناس', 'السلطان', 'مدلا', 'للإخوان', 'مذلا']"
 أحضر الناس جواباً من لم يغضب,Sentiment: positive,"['أحضر', 'الناس', 'جوابا', 'يغضب']"
 الأخلاق نبتة جذورها في السماء، أما أزهارها وثمارها فتعطر الأرض.,Sentiment: positive,"['الأخلاق', 'نبتة', 'جذورها', 'السماا', 'أزهارها', 'ثمارها', 'فتعطر', 'الأرض']"
 أذل البخل .. أعناق الرجال.,Sentiment: negative,"['أذل', 'البخل', 'أعناق', 'الرجال']"
 التربية الخلقية أهم للإنسان من خبزه وثوبه.,Sentiment: positive,"['التربية', 'الخلقية', 'أهم', 'للإنسان', 'خبزه', 'ثوبه']"
 أرى كل إنسان يرى عيب غيره ويعمى عن العيب الذي هو فيه.,Good Moral: غَيْر,"['إنسان', 'يرى', 'عيب', 'غيره', 'يعمى', 'العيب']"
 تفسد المؤسسات حين لا تكون قاعدتها الأخلاق.,Sentiment: negative,"['تفسد', 'الماسسات', 'تكون', 'قاعدتها', 'الأخلاق']"
 أعلمه الرماية كل يوم فلما أشتد ساعِدُهُ رماني.,Sentiment: positive,"['أعلمه', 'الرماية', 'يوم', 'فلما', 'أشتد', 'ساعده', 'رماني']"
 ابدؤوا بإصلاح الأخلاق فإنها أول الطريق.,Good Moral: إِصْلاح,"['ابداوا', 'بإصلاح', 'الأخلاق', 'فإنها', 'الطريق']"
 أغنى الأغنياء من لم يكن للبخل أسيراً.,Sentiment: positive,"['أغنى', 'الأغنياا', 'يكن', 'للبخل', 'أسيرا']"
 إصحَب الناس بأي خلق شئت يصحبوك.,Sentiment: neutral,"['إصحب', 'الناس', 'بأي', 'خلق', 'شئت', 'يصحبوك']"
 أقلّ الناس سروراً الحسود.,Sentiment: negative,"['الناس', 'سرورا', 'الحسود']"
 مَن ساء خلقه عَذَّبَ نفسه.,Sentiment: negative,"['ساا', 'خلقه', 'عذب', 'نفسه']"
 البخيل عظيم الرواق صغير الأخلاق.,Sentiment: positive,"['البخيل', 'عظيم', 'الرواق', 'صغير', 'الأخلاق']"
 إصحب الناس بمكارم الأخلاق، فإن الثواء بينهم قليل.,Sentiment: positive,"['إصحب', 'الناس', 'بمكارم', 'الأخلاق', 'الثواا', 'بينهم', 'قليل']"
 البخيل غناه فقر ومطبخه قفر.,Sentiment: negative,"['البخيل', 'غناه', 'فقر', 'مطبخه', 'قفر']"
 الاتحاد ثمرة لشجرة ذات فروع وأوراق وجذوع وجذور، هي الأخلاق الفاضلة بمراتبها.,Sentiment: positive,"['الاتحاد', 'ثمرة', 'لشجرة', 'فروع', 'أوراق', 'جذوع', 'جذور', 'الأخلاق', 'الفاضلة', 'بمراتبها']"
 الحاسد يرى زوال نعمتك نعمة عليه,Sentiment: positive,"['الحاسد', 'يرى', 'زوال', 'نعمتك', 'نعمة']"
 من مكارم الأخلاق: صدق اللسان، وصدق البأس، وإعطاء السائل، وحسن الخلق، والمكافأة بالصنائع، وصلة الرحم. ,Good Moral: صِدْق,"['مكارم', 'الأخلاق', 'صدق', 'اللسان', 'صدق', 'البأس', 'إعطاا', 'السائل', 'حسن', 'الخلق', 'المكافأة', 'بالصنائع', 'صلة', 'الرحم']"
 الحسد ثِقْلٌ لا يضعه حامله,Blameworthy Moral: حَسَد,"['الحسد', 'ثقل', 'يضعه', 'حامله']"
 العشرة السيئة تفسد الأخلاق الحسنة.,Sentiment: negative,"['العشرة', 'السيئة', 'تفسد', 'الأخلاق', 'الحسنة']"
 الحسد داء لا يبرأ منه.,Blameworthy Moral: حَسَد,"['الحسد', 'داا', 'يبرأ']"
 يمكن للإنسان أن يدخل قلوب الآخرين دون أن ينطق بكلمه واحدة، إذ يكفيه سلوكه الناطق بالصفات الكريمة والأخلاق الحميدة.,Sentiment: positive,"['يمكن', 'للإنسان', 'يدخل', 'قلوب', 'الآخرين', 'ينطق', 'بكلمه', 'احدة', 'يكفيه', 'سلوكه', 'الناطق', 'بالصفات', 'الكريمة', 'الأخلاق', 'الحميدة']"
 الحسد والنفاق والكذب أثافي الذل.,Blameworthy Moral: حَسَد,"['الحسد', 'النفاق', 'الكذب', 'أثافي', 'الذل']"
 الخاذل أخو القاتل.,Sentiment: negative,"['الخاذل', 'القاتل']"
 الشرير لا يظن بالناس خيراً.,Sentiment: negative,"['الشرير', 'يظن', 'بالناس', 'خيرا']"
 الشماتة بالمنكوب لؤم.,Blameworthy Moral: شَمات,"['الشماتة', 'بالمنكوب']"
 الطبع غلب التطبّع.,Sentiment: positive,"['الطبع', 'غلب', 'التطبع']"
 العديم من إحتاج من اللئيم.,Sentiment: negative,"['العديم', 'إحتاج', 'اللئيم']"
 الغضب صدأ العقل.,Blameworthy Moral: غَضَب,"['الغضب', 'صدأ', 'العقل']"
 المزح يجلب الشر صغيراً والحرب كبيرة.,Sentiment: negative,"['المزح', 'يجلب', 'الشر', 'صغيرا', 'الحرب', 'كبيرة']"
 المكر حيلة من لا حيلة له.,Sentiment: negative,"['المكر', 'حيلة', 'حيلة']"
 إن الذليل من دل في سلطانه.,Sentiment: negative,"['الذليل', 'دل', 'سلطانه']"
 إن الشباب والفراغ والْجِدَة مفسدة للمرء أي مفسدة.,Sentiment: negative,"['الشباب', 'الفراغ', 'الجدة', 'مفسدة', 'للمرا', 'مفسدة']"
 إن الغريق بكل حبل يعلق.,Sentiment: negative,"['الغريق', 'بكل', 'حبل', 'يعلق']"
 إن كنت كذوباً فكن ذكوراً.,Sentiment: positive,"['كنت', 'كذوبا', 'فكن', 'ذكورا']"
 إنك تضرب في حديد بارد.,Sentiment: neutral,"['تضرب', 'حديد', 'بارد']"
 أول الغضب جنون وآخره ندم.,Blameworthy Moral: غَضَب,"['الغضب', 'جنون', 'آخره', 'ندم']"
 إياك عني واسمعي يا جارة.,Sentiment: negative,"['اسمعي', 'جارة']"
 بئس الشعار الحسد.,Blameworthy Moral: حَسَد,"['الشعار', 'الحسد']"
 بدن فاجر وقلب كافر.,Sentiment: negative,"['بدن', 'فاجر', 'قلب', 'كافر']"
 بغاث الطير أكثرها فراخاً.,Sentiment: positive,"['بغاث', 'الطير', 'أكثرها', 'فراخا']"
 حاسد النعمة لا يرضيه إلّا زوالها.,Sentiment: positive,"['حاسد', 'النعمة', 'يرضيه', 'زوالها']"
 حبل الكذب قصير.,Blameworthy Moral: كِذْب,"['حبل', 'الكذب', 'قصير']"
 خير الأصدقاء من ترك المزاح.,Sentiment: positive,"['خير', 'الأصدقاا', 'المزاح']"
 ذُلَّ من يغيظ الذليل بعيش.,Blameworthy Moral: ذُلّ,"['ذل', 'يغيظ', 'الذليل', 'بعيش']"
 ريح صيف وطارق طيف.,Sentiment: negative,"['ريح', 'صيف', 'طارق', 'طيف']"
 سائل البخيل محروم وماله مكتوم.,Sentiment: negative,"['سائل', 'البخيل', 'محروم', 'ماله', 'مكتوم']"
 سكت دهراً ونطق كفراً.,Sentiment: negative,"['سكت', 'دهرا', 'نطق', 'كفرا']"
 شر الحديث الكذب.,Blameworthy Moral: كِذْب,"['شر', 'الحديث', 'الكذب']"
 شر السمك يكدر الماء.,Sentiment: negative,"['شر', 'السمك', 'يكدر', 'الماا']"
 شر الناس من لا يبالي أن يراه الناس مسيئاً.,Sentiment: negative,"['شر', 'الناس', 'يبالي', 'يراه', 'الناس', 'مسيئا']"
 قد ينبت الشوك وسط الزهور.,Sentiment: positive,"['ينبت', 'الشوك', 'سط', 'الزهور']"
 كثرة الضحك تذهب الهيبة.,Sentiment: negative,"['كثرة', 'الضحك', 'تذهب', 'الهيبة']"
 كلام كالعسل ووغزٌ كالأسل.,Sentiment: negative,"['كلام', 'كالعسل', 'وغز', 'كالأسل']"
 لا تمدّن إلى المعالي يداً قصرت عن المعروف.,Sentiment: positive,"['تمدن', 'المعالي', 'يدا', 'قصرت', 'المعروف']"
 لا خير فيمن لا يدوم له أحد.,Sentiment: positive,"['خير', 'فيمن', 'يدوم']"
 لا رأي لمن لا يطاع.,Sentiment: negative,"['رأي', 'يطاع']"
 لا رأي لكذوب.,Sentiment: negative,"['رأي', 'لكذوب']"
 لا راحة لحسود.,Sentiment: negative,"['راحة', 'لحسود']"
 لا في العير ولا في النفير.,Sentiment: negative,"['العير', 'النفير']"
 لا مروءة لبخيل.,Sentiment: negative,"['مرواة', 'لبخيل']"
 لا يثمر الشوك العنب.,Sentiment: negative,"['يثمر', 'الشوك', 'العنب']"
 لا يحمل الحقد من تعلو به الرتب.,Blameworthy Moral: الحقد,"['يحمل', 'الحقد', 'تعلو', 'الرتب']"
 لا يرضى عنك الحسود حتى تموت.,Sentiment: negative,"['يرضى', 'عنك', 'الحسود', 'تموت']"
 لا يشكر الناس من لا يشكر الله.,Sentiment: negative,"['يشكر', 'الناس', 'يشكر', 'الله']"
 لله در الحسد ما أعدله بدأ بصاحبه فقتله.,Blameworthy Moral: حَسَد,"['لله', 'در', 'الحسد', 'أعدله', 'بدأ', 'بصاحبه', 'فقتله']"
 ليس للحاسد إلا ما حسد.,Blameworthy Moral: حَسَد,"['للحاسد', 'حسد']"
 من أطاع غضبه أضاع أدبه.,Blameworthy Moral: غَضَب,"['أطاع', 'غضبه', 'أضاع', 'أدبه']"
 مَن أوقد نار الفتنة احترق بها.,Sentiment: negative,"['أوقد', 'نار', 'الفتنة', 'احترق']"
 مَن حسن من دونه فلا عذر له.,Sentiment: positive,"['حسن', 'دونه', 'عذر']"
 مَن ظهر غضبه قل كيده.,Blameworthy Moral: غَضَب,"['ظهر', 'غضبه', 'قل', 'كيده']"
 مَن فاته الأدب لم ينفعه الْحَسَبُ.,Sentiment: negative,"['فاته', 'الأدب', 'ينفعه', 'الحسب']"
 مَن فسدت بطانته كان كمن غص بالماء.,Sentiment: negative,"['فسدت', 'بطانته', 'كمن', 'غص', 'بالماا']"
 مَن لم يركب الأهوال لم ينل الآمال.,Sentiment: positive,"['يركب', 'الأهوال', 'ينل', 'الآمال']"
 مَن ملك غضبه احترس من عدوه.,Blameworthy Moral: غَضَب,"['ملك', 'غضبه', 'احترس', 'عدوه']"
 نفاق المرء من ذلّه.,Blameworthy Moral: نِفاق,"['نفاق', 'المرا', 'ذله']"
 بعض خلائق الأقوام داء كداء البطن ليس له دواء.,Sentiment: negative,"['خلائق', 'الأقوام', 'داا', 'كداا', 'البطن', 'دواا']"
 في الناس شر لو بدا ما تعاشروا ولكن كساه الله ثوب غطاء.,Sentiment: negative,"['الناس', 'شر', 'بدا', 'تعاشروا', 'كساه', 'الله', 'ثوب', 'غطاا']"
 كم علمته نظم القوافي فلما قال قافية هجاني.,Sentiment: positive,"['علمته', 'نظم', 'القوافي', 'فلما', 'قال', 'قافية', 'هجاني']"
 كنت أذم إليك الزمان فقد صرت فيك أذم الزمان.,Sentiment: neutral,"['كنت', 'أذم', 'الزمان', 'فقد', 'صرت', 'فيك', 'أذم', 'الزمان']"
