Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
 إذا أردت أن تعرف أخلاق رجل فضع في يده سلطة ثم أنظر كيف يتصرف.,Sentiment: neutral,"['أردت', 'تعرف', 'أخلاق', 'رجل', 'فضع', 'يده', 'سلطة', 'أنظر', 'يتصرف']",أرد تعرف أخلاق رجل فضع يد سلط أنظر تصرف,"['أرد', 'تعرف', 'أخلاق', 'رجل', 'فضع', 'يد', 'سلط', 'أنظر', 'تصرف']"
 الجودة من الموجودة.,Sentiment: positive,"['الجودة', 'الموجودة']",جود موجود,"['جود', 'موجود']"
 الحر تكفيه الإشارة.,Sentiment: positive,"['الحر', 'تكفيه', 'الإشارة']",حر كف إشار,"['حر', 'كف', 'إشار']"
 الحِلْمُ سيد الأخلاق.,Good Moral: حُلُم,"['الحلم', 'سيد', 'الأخلاق']",حلم سيد أخلاق,"['حلم', 'سيد', 'أخلاق']"
 الدال على الخير كفاعله.,Sentiment: positive,"['الدال', 'الخير', 'كفاعله']",دال خير فاعل,"['دال', 'خير', 'فاعل']"
 الرفق بالجاني عتاب.,Good Moral: رِفَق,"['الرفق', 'بالجاني', 'عتاب']",رفق جاني عتاب,"['رفق', 'جاني', 'عتاب']"
 الشريف إذا تَقَوَّى تواضع والوضيع إذا تَقَوَّى تكبر.,Sentiment: positive,"['الشريف', 'تقوى', 'تواضع', 'الوضيع', 'تقوى', 'تكبر']",شريف تقو تواضع وضيع تقو تكبر,"['شريف', 'تقو', 'تواضع', 'وضيع', 'تقو', 'تكبر']"
 الصدق دليل التقوى.,Good Moral: صِدْق,"['الصدق', 'دليل', 'التقوى']",صدق دليل تقوى,"['صدق', 'دليل', 'تقوى']"
 الصدق يحسن بالفتى والكذب يحسب من عيوبه.,Good Moral: صِدْق,"['الصدق', 'يحسن', 'بالفتى', 'الكذب', 'يحسب', 'عيوبه']",صدق حسن آلف كذب حسب عيوب,"['صدق', 'حسن', 'آلف', 'كذب', 'حسب', 'عيوب']"
 الضحك بلا سبب مِن قلّة الأدب.,Sentiment: negative,"['الضحك', 'بلا', 'سبب', 'قلة', 'الأدب']",ضحك بل سبب قل أدب,"['ضحك', 'بل', 'سبب', 'قل', 'أدب']"
 العِتاب خير من الحقد.,Blameworthy Moral: الحقد,"['العتاب', 'خير', 'الحقد']",عتاب خير حقد,"['عتاب', 'خير', 'حقد']"
 العِتاب صابون القلب.,Sentiment: positive,"['العتاب', 'صابون', 'القلب']",عتاب صابون قلب,"['عتاب', 'صابون', 'قلب']"
 العفّة جيش لا يُهزم.,Good Moral: عَفّ,"['العفة', 'جيش', 'يهزم']",عف جيش هزم,"['عف', 'جيش', 'هزم']"
 العفو عند المقدرة.,Sentiment: positive,"['العفو', 'المقدرة']",عفو مقدر,"['عفو', 'مقدر']"
 العفو يصلح الكريم ويفسد اللئيم.,Sentiment: positive,"['العفو', 'يصلح', 'الكريم', 'يفسد', 'اللئيم']",عفو صلح كريم فسد لئيم,"['عفو', 'صلح', 'كريم', 'فسد', 'لئيم']"
 الغنى في يد اللئيم قبيح قدر قبح الكريم في الإملاق.,Sentiment: neutral,"['الغنى', 'يد', 'اللئيم', 'قبيح', 'قدر', 'قبح', 'الكريم', 'الإملاق']",غني يد لئيم قبيح قدر قبح كريم أملاق,"['غني', 'يد', 'لئيم', 'قبيح', 'قدر', 'قبح', 'كريم', 'أملاق']"
 الفضل ما شهدت به الأعداء.,Sentiment: positive,"['الفضل', 'شهدت', 'الأعداا']",فضل شهد الأعداا,"['فضل', 'شهد', 'الأعداا']"
 القدوة الحسنة خير من النصيحة.,Good Moral: نَصِيح,"['القدوة', 'الحسنة', 'خير', 'النصيحة']",قدو حسن خير نصيح,"['قدو', 'حسن', 'خير', 'نصيح']"
 القدوة الحسنة خير من الوصية.,Sentiment: positive,"['القدوة', 'الحسنة', 'خير', 'الوصية']",قدو حسن خير وصي,"['قدو', 'حسن', 'خير', 'وصي']"
 القناعة كنز لا يفنى.,Good Moral: القناعة,"['القناعة', 'كنز', 'يفنى']",قناع كنز فنى,"['قناع', 'كنز', 'فنى']"
 الكذب داء والصدق دواء.,Blameworthy Moral: كِذْب,"['الكذب', 'داا', 'الصدق', 'دواا']",كذب داا صدق دواا,"['كذب', 'داا', 'صدق', 'دواا']"
 الكريم من أكرم الأحرار.,Sentiment: positive,"['الكريم', 'أكرم', 'الأحرار']",كريم أكرم أحرار,"['كريم', 'أكرم', 'أحرار']"
 الكريم يظلم من فوقه واللئيم يظلم من تحته.,Sentiment: neutral,"['الكريم', 'يظلم', 'فوقه', 'اللئيم', 'يظلم', 'تحته']",كريم ظلم فوق لئيم ظلم تحت,"['كريم', 'ظلم', 'فوق', 'لئيم', 'ظلم', 'تحت']"
 المؤمن كالنحلة تأكل طيباً وتضع طيباً.,Sentiment: positive,"['المامن', 'كالنحلة', 'تأكل', 'طيبا', 'تضع', 'طيبا']",مأمن نحل تأكل طيب ضع طيب,"['مأمن', 'نحل', 'تأكل', 'طيب', 'ضع', 'طيب']"
 المرء بالأخلاق يسمو ذكره.,Sentiment: positive,"['المرا', 'بالأخلاق', 'يسمو', 'ذكره']",مرآ أخلاق سمو ذكر,"['مرآ', 'أخلاق', 'سمو', 'ذكر']"
 النظافة من الإيمان.,Good Moral: نَظاف,"['النظافة', 'الإيمان']",نظاف أيم,"['نظاف', 'أيم']"
 النعمة عروس مهرها الشكر.,Good Moral: الشكر,"['النعمة', 'عروس', 'مهرها', 'الشكر']",نعم عروس مهر شكر,"['نعم', 'عروس', 'مهر', 'شكر']"
 الوعد سحاب والإنجاز مطره.,Sentiment: positive,"['الوعد', 'سحاب', 'الإنجاز', 'مطره']",وعد سحاب إنجاز مطر,"['وعد', 'سحاب', 'إنجاز', 'مطر']"
 أملك الناس لنفسه من كتم سره.,Sentiment: neutral,"['أملك', 'الناس', 'لنفسه', 'كتم', 'سره']",أمل ناس نفس كتم سر,"['أمل', 'ناس', 'نفس', 'كتم', 'سر']"
 إن الله يحب معالي الأمور ويبغض سفاسفها.,Sentiment: positive,"['الله', 'يحب', 'معالي', 'الأمور', 'يبغض', 'سفاسفها']",الله حب معال أمور بغض سفاسف,"['الله', 'حب', 'معال', 'أمور', 'بغض', 'سفاسف']"
 إن المقْدِرة تُذْهِبَ الحفيظة.,Sentiment: negative,"['المقدرة', 'تذهب', 'الحفيظة']",مقدر ذهب حفيظ,"['مقدر', 'ذهب', 'حفيظ']"
 المرء بأصغريه: قلبه ولسانه.,Sentiment: positive,"['المرا', 'بأصغريه', 'قلبه', 'لسانه']",مرآ أصغر قلب لسان,"['مرآ', 'أصغر', 'قلب', 'لسان']"
 إنما سُمِّيتَ هانئاً لتهنأ.,Sentiment: negative,"['سميت', 'هانئا', 'لتهنأ']",سمي هانئ ته,"['سمي', 'هانئ', 'ته']"
 إنه نسيج وحده.,Sentiment: positive,"['نسيج', 'حده']",نسيج حد,"['نسيج', 'حد']"
 أولى الناس بالعفو أقدرهم على العقوبة.,Sentiment: neutral,"['أولى', 'الناس', 'بالعفو', 'أقدرهم', 'العقوبة']",أول ناس عفو أقدر عقوب,"['أول', 'ناس', 'عفو', 'أقدر', 'عقوب']"
 إياك وما يعتذر منه.,Sentiment: negative,['يعتذر'],عتذر,['عتذر']
 بِشْرُ الكريم في وجهه يلوح.,Sentiment: positive,"['بشر', 'الكريم', 'جهه', 'يلوح']",بشر كريم جه لوح,"['بشر', 'كريم', 'جه', 'لوح']"
 بيت المحسن عمار.,Sentiment: positive,"['بيت', 'المحسن', 'عمار']",بيت محسن عمار,"['بيت', 'محسن', 'عمار']"
 تاج المروءة التواضع.,Good Moral: تَواضُع,"['تاج', 'المرواة', 'التواضع']",تاج المرواة تواضع,"['تاج', 'المرواة', 'تواضع']"
 ترك الذنب أيسر من الاعتذار.,Sentiment: neutral,"['الذنب', 'أيسر', 'الاعتذار']",ذنب أيسر ٱعتذار,"['ذنب', 'أيسر', 'ٱعتذار']"
 تمام الصدق الإخبار بما تحمله العقول.,Good Moral: صِدْق,"['تمام', 'الصدق', 'الإخبار', 'تحمله', 'العقول']",تمام صدق إخبار تحمل عقول,"['تمام', 'صدق', 'إخبار', 'تحمل', 'عقول']"
 تناسَ مساوئ الاخوان يدم لك وُدُّهُمْ.,Sentiment: negative,"['تناس', 'مساوئ', 'الاخوان', 'يدم', 'دهم']",تناس مساوئ أخو دم دهم,"['تناس', 'مساوئ', 'أخو', 'دم', 'دهم']"
 حُسْنُ الخلق خير قرين.,Sentiment: positive,"['حسن', 'الخلق', 'خير', 'قرين']",حسن خلق خير قري,"['حسن', 'خلق', 'خير', 'قري']"
 حُسْنُ الخلق يذيب الخطايا كما تذيب الشمس الجليد.,Sentiment: neutral,"['حسن', 'الخلق', 'يذيب', 'الخطايا', 'تذيب', 'الشمس', 'الجليد']",حسن خلق ذيب خطايا ذيب شمس جليد,"['حسن', 'خلق', 'ذيب', 'خطايا', 'ذيب', 'شمس', 'جليد']"
 حُسْنُ الخلق يوجب المودة.,Sentiment: positive,"['حسن', 'الخلق', 'يوجب', 'المودة']",حسن خلق وجب مود,"['حسن', 'خلق', 'وجب', 'مود']"
 حق من كتب بمسك أن يختم بعنبر.,Sentiment: negative,"['حق', 'كتب', 'بمسك', 'يختم', 'بعنبر']",حق كتب مس ختم عنبر,"['حق', 'كتب', 'مس', 'ختم', 'عنبر']"
 خلقت مُبَرَّأً من كل عيب كأنك قد خُلقْتَ كما تشاء.,Sentiment: positive,"['خلقت', 'مبرأ', 'عيب', 'كأنك', 'خلقت', 'تشاا']",خلق مبرأ عيب كأن خلق تشاا,"['خلق', 'مبرأ', 'عيب', 'كأن', 'خلق', 'تشاا']"
 خير الناس للناس خيرهم لنفسه.,Sentiment: positive,"['خير', 'الناس', 'للناس', 'خيرهم', 'لنفسه']",خير ناس ناس خير نفس,"['خير', 'ناس', 'ناس', 'خير', 'نفس']"
 خير الناس من فرح للناس بالخير.,Sentiment: positive,"['خير', 'الناس', 'فرح', 'للناس', 'بالخير']",خير ناس فرح ناس خير,"['خير', 'ناس', 'فرح', 'ناس', 'خير']"
 خير صِلاتِ الكريم أَعْوَدُها.,Sentiment: positive,"['خير', 'صلات', 'الكريم', 'أعودها']",خير صل كريم عود,"['خير', 'صل', 'كريم', 'عود']"
 ساقي القوم آخرهم شراباً.,Sentiment: negative,"['ساقي', 'القوم', 'آخرهم', 'شرابا']",ساق قوم آخر شراب,"['ساق', 'قوم', 'آخر', 'شراب']"
 سر النجاح على الدوام هو أن تسير إلى الأمام.,Sentiment: positive,"['سر', 'النجاح', 'الدوام', 'تسير', 'الأمام']",سر نجاح دوام سير إمام,"['سر', 'نجاح', 'دوام', 'سير', 'إمام']"
 سيد القوم خادمهم.,Sentiment: positive,"['سيد', 'القوم', 'خادمهم']",سيد قوم خادم,"['سيد', 'قوم', 'خادم']"
 شكرت جميل صنعكم بدمعي ودمع العين مقياس الشعور.,Sentiment: positive,"['شكرت', 'جميل', 'صنعكم', 'بدمعي', 'دمع', 'العين', 'مقياس', 'الشعور']",شكر جميل صنع دمع دمع عين مقياس شعور,"['شكر', 'جميل', 'صنع', 'دمع', 'دمع', 'عين', 'مقياس', 'شعور']"
 صلاح أمرك بالأخلاق مرجعه فَقَوِّم النفس بالأخلاق تستقم.,Sentiment: positive,"['صلاح', 'أمرك', 'بالأخلاق', 'مرجعه', 'فقوم', 'النفس', 'بالأخلاق', 'تستقم']",صلاح آمر أخلاق مرجع فقوم نفس أخلاق ستقم,"['صلاح', 'آمر', 'أخلاق', 'مرجع', 'فقوم', 'نفس', 'أخلاق', 'ستقم']"
 عامل الناس برأي رفيق والقِ من تلقى بوجه طليق.,Sentiment: neutral,"['عامل', 'الناس', 'برأي', 'رفيق', 'الق', 'تلقى', 'بوجه', 'طليق']",عامل ناس برا رفيق ألق تلقى وجه طليق,"['عامل', 'ناس', 'برا', 'رفيق', 'ألق', 'تلقى', 'وجه', 'طليق']"
 عامل الناس بما تحب أن يعاملوك به.,Sentiment: positive,"['عامل', 'الناس', 'تحب', 'يعاملوك']",عامل ناس حب عامل,"['عامل', 'ناس', 'حب', 'عامل']"
 فرط الأنس مكسبة لقرناء السوء.,Sentiment: negative,"['فرط', 'الأنس', 'مكسبة', 'لقرناا', 'السوا']",فرط أنس مكسب لقرناا ألس,"['فرط', 'أنس', 'مكسب', 'لقرناا', 'ألس']"
 فلان دُرَّةُ التاج وواسطة العقد.,Sentiment: negative,"['درة', 'التاج', 'واسطة', 'العقد']",در تاج واسط عقد,"['در', 'تاج', 'واسط', 'عقد']"
 قلب المؤمن دليله.,Sentiment: positive,"['قلب', 'المامن', 'دليله']",قلب مأمن دليل,"['قلب', 'مأمن', 'دليل']"
 قليل في الجيب خير من كثير في الغيب.,Sentiment: positive,"['قليل', 'الجيب', 'خير', 'كثير', 'الغيب']",قليل جيب خير كثير غيب,"['قليل', 'جيب', 'خير', 'كثير', 'غيب']"
 كل امرئ بما يحسنه.,Sentiment: positive,"['امرئ', 'يحسنه']",امرئ حسن,"['امرئ', 'حسن']"
 إن السؤال يُذِلُّ قوماً كذلك يعز قوم بالعطاء.,Good Moral: عِزّ,"['الساال', 'يذل', 'قوما', 'يعز', 'قوم', 'بالعطاا']",سأال ذل قوم عز قوم بالعطاا,"['سأال', 'ذل', 'قوم', 'عز', 'قوم', 'بالعطاا']"
 لا تشن وجه العفو بالتأنيب.,Sentiment: negative,"['تشن', 'جه', 'العفو', 'بالتأنيب']",شن جه عفو تأنيب,"['شن', 'جه', 'عفو', 'تأنيب']"
 لا تكن حلواً فتؤكل ولا مراً فترمى.,Sentiment: neutral,"['تكن', 'حلوا', 'فتاكل', 'مرا', 'فترمى']",كن حل تأكل مر رم,"['كن', 'حل', 'تأكل', 'مر', 'رم']"
 لا تمازح الشريف فيحنق عليك ولا الدنيء فيتجرأ عليك.,Sentiment: neutral,"['تمازح', 'الشريف', 'فيحنق', 'الدنيا', 'فيتجرأ']",مازح شريف حنق دنيا تجر,"['مازح', 'شريف', 'حنق', 'دنيا', 'تجر']"
 لا تنه عن خلق وتأتي مثله عار عليك إذا فعلت عظيم.,Sentiment: negative,"['تنه', 'خلق', 'تأتي', 'مثله', 'عار', 'فعلت', 'عظيم']",تن خلق تأتى مثل عار فعل عظيم,"['تن', 'خلق', 'تأتى', 'مثل', 'عار', 'فعل', 'عظيم']"
 لا خير فيمن لا يَأْلَفُ ولا يؤلف.,Sentiment: positive,"['خير', 'فيمن', 'يألف', 'يالف']",خير يمن ألف ألف,"['خير', 'يمن', 'ألف', 'ألف']"
 لكل مقام مقال ولكل زمان رجال.,Sentiment: positive,"['لكل', 'مقام', 'مقال', 'لكل', 'زمان', 'رجال']",كل مقام مقال كل زمان رجال,"['كل', 'مقام', 'مقال', 'كل', 'زمان', 'رجال']"
 للشدائد تُدَّخَرُ الرجال.,Sentiment: positive,"['للشدائد', 'تدخر', 'الرجال']",شدائد دخر رجال,"['شدائد', 'دخر', 'رجال']"
 لو كان الكذب ينجي فالصدق أنجى.,Blameworthy Moral: كِذْب,"['الكذب', 'ينجي', 'فالصدق', 'أنجى']",كذب نجى صدق أنجى,"['كذب', 'نجى', 'صدق', 'أنجى']"
 ما كل من قال قولاً وفى.,Sentiment: neutral,"['قال', 'قولا', 'فى']",قال قول في,"['قال', 'قول', 'في']"
 مِن حسن إسلام المرء تَرْكُهُ ما لا يعنيه.,Sentiment: negative,"['حسن', 'إسلام', 'المرا', 'تركه', 'يعنيه']",حسن إسلام مرآ ترك عني,"['حسن', 'إسلام', 'مرآ', 'ترك', 'عني']"
 معاتبة الاخوان خير من فقدهم.,Sentiment: negative,"['معاتبة', 'الاخوان', 'خير', 'فقدهم']",معاتب أخو خير فقد,"['معاتب', 'أخو', 'خير', 'فقد']"
 من تواضع لله رفعه.,Sentiment: positive,"['تواضع', 'لله', 'رفعه']",تواضع لله رفع,"['تواضع', 'لله', 'رفع']"
 من حسن خُلُقُه استراح وأراح.,Sentiment: positive,"['حسن', 'خلقه', 'استراح', 'أراح']",حسن خلق ٱستراح أراح,"['حسن', 'خلق', 'ٱستراح', 'أراح']"
 مِن حسن خُلقُه وجب حقُّه.,Sentiment: positive,"['حسن', 'خلقه', 'جب', 'حقه']",حسن خلق جب حق,"['حسن', 'خلق', 'جب', 'حق']"
 مَن شابه أباه فما ظلم.,Blameworthy Moral: ظُلْم,"['شابه', 'أباه', 'فما', 'ظلم']",شاب آب فم ظلم,"['شاب', 'آب', 'فم', 'ظلم']"
 مَن شَبَّ على شيء شاب عليه.,Sentiment: negative,"['شب', 'شيا', 'شاب']",شب شي شاب,"['شب', 'شي', 'شاب']"
 من عرف نفسه عرف ربه.,Sentiment: positive,"['عرف', 'نفسه', 'عرف', 'ربه']",عرف نفس عرف رب,"['عرف', 'نفس', 'عرف', 'رب']"
 من لم يقنع باليسير لم يكتفِ بالكثير.,Sentiment: negative,"['يقنع', 'باليسير', 'يكتف', 'بالكثير']",قنع يسير كتف كثير,"['قنع', 'يسير', 'كتف', 'كثير']"
 نعم الثوب العافية إذا انسدل على الكفاف.,Sentiment: positive,"['الثوب', 'العافية', 'انسدل', 'الكفاف']",ثوب عافي ٱنسدل كفاف,"['ثوب', 'عافي', 'ٱنسدل', 'كفاف']"
 نعم العون على المروءة المال.,Sentiment: positive,"['العون', 'المرواة', 'المال']",عون المرواة مآل,"['عون', 'المرواة', 'مآل']"
 نعم المؤَدِّبُ الدهر.,Sentiment: positive,"['المادب', 'الدهر']",مآدب دهر,"['مآدب', 'دهر']"
 نعم حاجب الشهوات غض البصر.,Sentiment: neutral,"['حاجب', 'الشهوات', 'غض', 'البصر']",حاجب شهو غض بصر,"['حاجب', 'شهو', 'غض', 'بصر']"
 هذا الشبل من ذاك الأسد.,Sentiment: positive,"['الشبل', 'الأسد']",شبل أسد,"['شبل', 'أسد']"
 هي الأخلاق تنبت كالنبات إذا سقيت بماء المكرمات.,Sentiment: positive,"['الأخلاق', 'تنبت', 'كالنبات', 'سقيت', 'بماا', 'المكرمات']",أخلاق نبت نبات سقي بماا مكرم,"['أخلاق', 'نبت', 'نبات', 'سقي', 'بماا', 'مكرم']"
 هيهات تكتم في الظلام مشاعل.,Sentiment: negative,"['تكتم', 'الظلام', 'مشاعل']",تكتم ظلام مشاعل,"['تكتم', 'ظلام', 'مشاعل']"
 إنما الأمم الأخلاق ما بقيت فإنّ هم ذهبت أخلاقهم ذهبوا.,Sentiment: neutral,"['الأمم', 'الأخلاق', 'بقيت', 'ذهبت', 'أخلاقهم', 'ذهبوا']",أمم أخلاق بقي ذهب أخلاق ذهب,"['أمم', 'أخلاق', 'بقي', 'ذهب', 'أخلاق', 'ذهب']"
 إني وإن كنت الأخير زمانه لآت بما لم تستطعه الأوائل.,Sentiment: neutral,"['كنت', 'الأخير', 'زمانه', 'لآت', 'تستطعه', 'الأوائل']",كن أخير زمان آت تستطعه أوائل,"['كن', 'أخير', 'زمان', 'آت', 'تستطعه', 'أوائل']"
 أي الناس ليس به عيوب.,Sentiment: positive,"['الناس', 'عيوب']",ناس عيوب,"['ناس', 'عيوب']"
 تأتي على قدر الكرام المكارم.,Sentiment: positive,"['تأتي', 'قدر', 'الكرام', 'المكارم']",تأتى قدر كرام مكارم,"['تأتى', 'قدر', 'كرام', 'مكارم']"
 تعظم في عين الصغير صغارها وتصغر في عين العظيم العظائم.,Sentiment: positive,"['تعظم', 'الصغير', 'صغارها', 'تصغر', 'العظيم', 'العظائم']",تعظم صغير صغار صغر عظيم عظائم,"['تعظم', 'صغير', 'صغار', 'صغر', 'عظيم', 'عظائم']"
 مهما يكن عند أمرئ من خَليقَةٍ وإن خالها تَخْفَى على الناس تُعْلَمِ.,Sentiment: positive,"['يكن', 'أمرئ', 'خليقة', 'خالها', 'تخفى', 'الناس', 'تعلم']",كن امرئ خليق خال تخفي ناس تعلم,"['كن', 'امرئ', 'خليق', 'خال', 'تخفي', 'ناس', 'تعلم']"
 ليست الأخلاق أن تكون صالحا فحسب، بل أن تكون صالحاً لشيء ما.,Sentiment: positive,"['الأخلاق', 'تكون', 'صالحا', 'فحسب', 'تكون', 'صالحا', 'لشيا']",أخلاق تكون صالح فحسب تكون صالح لشيا,"['أخلاق', 'تكون', 'صالح', 'فحسب', 'تكون', 'صالح', 'لشيا']"
