Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
 حسن الخلق أحد مراكب النجاة.,Sentiment: positive,"['حسن', 'الخلق', 'مراكب', 'النجاة']",حسن خلق مراكب نجا,"['حسن', 'خلق', 'مراكب', 'نجا']","['حَسَن', 'خَلَّق', 'مَراكِب', 'نَجا']",حَسَن خَلَّق مَراكِب نَجا
 التكبر على المتكبر تواضع.,Sentiment: positive,"['التكبر', 'المتكبر', 'تواضع']",تكبر متكبر تواضع,"['تكبر', 'متكبر', 'تواضع']","['تَكَبُّر', 'مُتَكَبِّر', 'تَواضَع']",تَكَبُّر مُتَكَبِّر تَواضَع
 أدنى أخلاق الشريف كتمان سره، وأعلى أخلاقه نسيان ما أسر له.,Sentiment: positive,"['أدنى', 'أخلاق', 'الشريف', 'كتمان', 'سره', 'أعلى', 'أخلاقه', 'نسيان', 'أسر']",أد أخلاق شريف كتمان سر أعلى أخلاق نسي أسر,"['أد', 'أخلاق', 'شريف', 'كتمان', 'سر', 'أعلى', 'أخلاق', 'نسي', 'أسر']","['أَدّ', 'أَخْلاق', 'شَرِيف', 'كِتْمان', 'سُرّ', 'أَعْلَى', 'أَخْلاق', 'نَسْي', 'أُسْر']",أَدّ أَخْلاق شَرِيف كِتْمان سُرّ أَعْلَى أَخْلاق نَسْي أُسْر
 التواضع من مصائد الشرف.,Good Moral: تَواضُع,"['التواضع', 'مصائد', 'الشرف']",تواضع مصائد شرف,"['تواضع', 'مصائد', 'شرف']","['تَواضَع', 'مَصائِد', 'شَرُف']",تَواضَع مَصائِد شَرُف
 إذا أردت أن تعرف أخلاق رجل فضع في يده سلطة ثم أنظر كيف يتصرف.,Sentiment: neutral,"['أردت', 'تعرف', 'أخلاق', 'رجل', 'فضع', 'يده', 'سلطة', 'أنظر', 'يتصرف']",أرد تعرف أخلاق رجل فضع يد سلط أنظر تصرف,"['أرد', 'تعرف', 'أخلاق', 'رجل', 'فضع', 'يد', 'سلط', 'أنظر', 'تصرف']","['أَرَدّ', 'تَعَرُّف', 'أَخْلاق', 'رَجِل', 'فضع', 'يَد', 'سَلَّط', 'أُنْظُر', 'تَصَرَّف']",أَرَدّ تَعَرُّف أَخْلاق رَجِل فضع يَد سَلَّط أُنْظُر تَصَرَّف
 الجودة من الموجودة.,Sentiment: positive,"['الجودة', 'الموجودة']",جود موجود,"['جود', 'موجود']","['جود', 'مَوْجُود']",جود مَوْجُود
 الحر تكفيه الإشارة.,Sentiment: positive,"['الحر', 'تكفيه', 'الإشارة']",حر كف إشار,"['حر', 'كف', 'إشار']","['حَرّ', 'كَفّ', 'أَشار']",حَرّ كَفّ أَشار
 الحِلْمُ سيد الأخلاق.,Good Moral: حُلُم,"['الحلم', 'سيد', 'الأخلاق']",حلم سيد أخلاق,"['حلم', 'سيد', 'أخلاق']","['حُلُم', 'سَيِّد', 'أَخْلاق']",حُلُم سَيِّد أَخْلاق
 الدال على الخير كفاعله.,Sentiment: positive,"['الدال', 'الخير', 'كفاعله']",دال خير فاعل,"['دال', 'خير', 'فاعل']","['دال', 'خَيْر', 'فاعِل']",دال خَيْر فاعِل
 الرفق بالجاني عتاب.,Good Moral: رِفَق,"['الرفق', 'بالجاني', 'عتاب']",رفق جاني عتاب,"['رفق', 'جاني', 'عتاب']","['رَفِق', 'جان', 'عِتاب']",رَفِق جان عِتاب
 الشريف إذا تَقَوَّى تواضع والوضيع إذا تَقَوَّى تكبر.,Sentiment: positive,"['الشريف', 'تقوى', 'تواضع', 'الوضيع', 'تقوى', 'تكبر']",شريف تقو تواضع وضيع تقو تكبر,"['شريف', 'تقو', 'تواضع', 'وضيع', 'تقو', 'تكبر']","['شَرِيف', 'تُقْو', 'تَواضَع', 'وَضِيع', 'تُقْو', 'تَكَبُّر']",شَرِيف تُقْو تَواضَع وَضِيع تُقْو تَكَبُّر
 الصدق دليل التقوى.,Good Moral: صِدْق,"['الصدق', 'دليل', 'التقوى']",صدق دليل تقوى,"['صدق', 'دليل', 'تقوى']","['صِدْق', 'دَلِيل', 'تُقْو']",صِدْق دَلِيل تُقْو
 الصدق يحسن بالفتى والكذب يحسب من عيوبه.,Good Moral: صِدْق,"['الصدق', 'يحسن', 'بالفتى', 'الكذب', 'يحسب', 'عيوبه']",صدق حسن آلف كذب حسب عيوب,"['صدق', 'حسن', 'آلف', 'كذب', 'حسب', 'عيوب']","['صِدْق', 'حَسَن', 'أَلِف', 'كَذَّب', 'حَسَب', 'عُيُوب']",صِدْق حَسَن أَلِف كَذَّب حَسَب عُيُوب
 الضحك بلا سبب مِن قلّة الأدب.,Sentiment: negative,"['الضحك', 'بلا', 'سبب', 'قلة', 'الأدب']",ضحك بل سبب قل أدب,"['ضحك', 'بل', 'سبب', 'قل', 'أدب']","['ضَحِك', 'بَلّ', 'سَبَب', 'قُلّ', 'أَدْب']",ضَحِك بَلّ سَبَب قُلّ أَدْب
 العِتاب خير من الحقد.,Blameworthy Moral: الحقد,"['العتاب', 'خير', 'الحقد']",عتاب خير حقد,"['عتاب', 'خير', 'حقد']","['عِتاب', 'خَيْر', 'حِقْد']",عِتاب خَيْر حِقْد
 العِتاب صابون القلب.,Sentiment: positive,"['العتاب', 'صابون', 'القلب']",عتاب صابون قلب,"['عتاب', 'صابون', 'قلب']","['عِتاب', 'صابُون', 'قَلَّب']",عِتاب صابُون قَلَّب
 العفّة جيش لا يُهزم.,Good Moral: عَفّ,"['العفة', 'جيش', 'يهزم']",عف جيش هزم,"['عف', 'جيش', 'هزم']","['عَفّ', 'جَيْش', 'هَزْم']",عَفّ جَيْش هَزْم
 العفو عند المقدرة.,Sentiment: positive,"['العفو', 'المقدرة']",عفو مقدر,"['عفو', 'مقدر']","['عَفْو', 'مُقَدِّر']",عَفْو مُقَدِّر
 العفو يصلح الكريم ويفسد اللئيم.,Sentiment: positive,"['العفو', 'يصلح', 'الكريم', 'يفسد', 'اللئيم']",عفو صلح كريم فسد لئيم,"['عفو', 'صلح', 'كريم', 'فسد', 'لئيم']","['عَفْو', 'صَلُح', 'كرِيم', 'فَسَد', 'لَئِيم']",عَفْو صَلُح كرِيم فَسَد لَئِيم
 الغنى في يد اللئيم قبيح قدر قبح الكريم في الإملاق.,Sentiment: neutral,"['الغنى', 'يد', 'اللئيم', 'قبيح', 'قدر', 'قبح', 'الكريم', 'الإملاق']",غني يد لئيم قبيح قدر قبح كريم أملاق,"['غني', 'يد', 'لئيم', 'قبيح', 'قدر', 'قبح', 'كريم', 'أملاق']","['غَنّ', 'يَد', 'لَئِيم', 'قَبِيح', 'قَدَر', 'قَبَّح', 'كرِيم', 'أَمْلاق']",غَنّ يَد لَئِيم قَبِيح قَدَر قَبَّح كرِيم أَمْلاق
 الفضل ما شهدت به الأعداء.,Sentiment: positive,"['الفضل', 'شهدت', 'الأعداا']",فضل شهد الأعداا,"['فضل', 'شهد', 'الأعداا']","['فَضَّل', 'شَهِد', 'الأعداا']",فَضَّل شَهِد الأعداا
 القدوة الحسنة خير من النصيحة.,Good Moral: نَصِيح,"['القدوة', 'الحسنة', 'خير', 'النصيحة']",قدو حسن خير نصيح,"['قدو', 'حسن', 'خير', 'نصيح']","['قَدْو', 'حَسَن', 'خَيْر', 'نَصِيح']",قَدْو حَسَن خَيْر نَصِيح
 القدوة الحسنة خير من الوصية.,Sentiment: positive,"['القدوة', 'الحسنة', 'خير', 'الوصية']",قدو حسن خير وصي,"['قدو', 'حسن', 'خير', 'وصي']","['قَدْو', 'حَسَن', 'خَيْر', 'وَصِيّ']",قَدْو حَسَن خَيْر وَصِيّ
 القناعة كنز لا يفنى.,Good Moral: القناعة,"['القناعة', 'كنز', 'يفنى']",قناع كنز فنى,"['قناع', 'كنز', 'فنى']","['قِناع', 'كَنِز', 'فَنّ']",قِناع كَنِز فَنّ
 الكذب داء والصدق دواء.,Blameworthy Moral: كِذْب,"['الكذب', 'داا', 'الصدق', 'دواا']",كذب داا صدق دواا,"['كذب', 'داا', 'صدق', 'دواا']","['كَذَّب', 'داا', 'صِدْق', 'دواا']",كَذَّب داا صِدْق دواا
 الكريم من أكرم الأحرار.,Sentiment: positive,"['الكريم', 'أكرم', 'الأحرار']",كريم أكرم أحرار,"['كريم', 'أكرم', 'أحرار']","['كرِيم', 'أَكْرَم', 'أَحْرار']",كرِيم أَكْرَم أَحْرار
 الكريم يظلم من فوقه واللئيم يظلم من تحته.,Sentiment: neutral,"['الكريم', 'يظلم', 'فوقه', 'اللئيم', 'يظلم', 'تحته']",كريم ظلم فوق لئيم ظلم تحت,"['كريم', 'ظلم', 'فوق', 'لئيم', 'ظلم', 'تحت']","['كرِيم', 'ظُلْم', 'فَوْقَ', 'لَئِيم', 'ظُلْم', 'تَحْتِ']",كرِيم ظُلْم فَوْقَ لَئِيم ظُلْم تَحْتِ
 المؤمن كالنحلة تأكل طيباً وتضع طيباً.,Sentiment: positive,"['المامن', 'كالنحلة', 'تأكل', 'طيبا', 'تضع', 'طيبا']",مأمن نحل تأكل طيب ضع طيب,"['مأمن', 'نحل', 'تأكل', 'طيب', 'ضع', 'طيب']","['مَأْمَن', 'نَحِل', 'تَأَكُّل', 'طَيِّب', 'ضع', 'طَيِّب']",مَأْمَن نَحِل تَأَكُّل طَيِّب ضع طَيِّب
 المرء بالأخلاق يسمو ذكره.,Sentiment: positive,"['المرا', 'بالأخلاق', 'يسمو', 'ذكره']",مرآ أخلاق سمو ذكر,"['مرآ', 'أخلاق', 'سمو', 'ذكر']","['مَرّ', 'أَخْلاق', 'سُمُوّ', 'ذَكَر']",مَرّ أَخْلاق سُمُوّ ذَكَر
 النظافة من الإيمان.,Good Moral: نَظاف,"['النظافة', 'الإيمان']",نظاف أيم,"['نظاف', 'أيم']","['نِظاف', 'أَيِّم']",نِظاف أَيِّم
 النعمة عروس مهرها الشكر.,Good Moral: الشكر,"['النعمة', 'عروس', 'مهرها', 'الشكر']",نعم عروس مهر شكر,"['نعم', 'عروس', 'مهر', 'شكر']","['نَعِم', 'عَرُوس', 'مُهْر', 'شُكْر']",نَعِم عَرُوس مُهْر شُكْر
 الوعد سحاب والإنجاز مطره.,Sentiment: positive,"['الوعد', 'سحاب', 'الإنجاز', 'مطره']",وعد سحاب إنجاز مطر,"['وعد', 'سحاب', 'إنجاز', 'مطر']","['وَعْد', 'سَحاب', 'إِنْجاز', 'مَطَر']",وَعْد سَحاب إِنْجاز مَطَر
 أملك الناس لنفسه من كتم سره.,Sentiment: neutral,"['أملك', 'الناس', 'لنفسه', 'كتم', 'سره']",أمل ناس نفس كتم سر,"['أمل', 'ناس', 'نفس', 'كتم', 'سر']","['أَمَّل', 'ناس', 'نَفَس', 'كَتَم', 'سُرّ']",أَمَّل ناس نَفَس كَتَم سُرّ
 إن الله يحب معالي الأمور ويبغض سفاسفها.,Sentiment: positive,"['الله', 'يحب', 'معالي', 'الأمور', 'يبغض', 'سفاسفها']",الله حب معال أمور بغض سفاسف,"['الله', 'حب', 'معال', 'أمور', 'بغض', 'سفاسف']","['اللّٰه', 'حُبّ', 'مُعال', 'أُمُور', 'بَغَّض', 'سَفاسِف']",اللّٰه حُبّ مُعال أُمُور بَغَّض سَفاسِف
 إن المقْدِرة تُذْهِبَ الحفيظة.,Sentiment: negative,"['المقدرة', 'تذهب', 'الحفيظة']",مقدر ذهب حفيظ,"['مقدر', 'ذهب', 'حفيظ']","['مُقَدِّر', 'ذَهَب', 'حَفِيظ']",مُقَدِّر ذَهَب حَفِيظ
 المرء بأصغريه: قلبه ولسانه.,Sentiment: positive,"['المرا', 'بأصغريه', 'قلبه', 'لسانه']",مرآ أصغر قلب لسان,"['مرآ', 'أصغر', 'قلب', 'لسان']","['مَرّ', 'أَصْغَر', 'قَلَّب', 'لِسان']",مَرّ أَصْغَر قَلَّب لِسان
 إنما سُمِّيتَ هانئاً لتهنأ.,Sentiment: negative,"['سميت', 'هانئا', 'لتهنأ']",سمي هانئ ته,"['سمي', 'هانئ', 'ته']","['سَمّ', 'هانِئ', 'ته']",سَمّ هانِئ ته
 إنه نسيج وحده.,Sentiment: positive,"['نسيج', 'حده']",نسيج حد,"['نسيج', 'حد']","['نَسِيج', 'حَدّ']",نَسِيج حَدّ
 أولى الناس بالعفو أقدرهم على العقوبة.,Sentiment: neutral,"['أولى', 'الناس', 'بالعفو', 'أقدرهم', 'العقوبة']",أول ناس عفو أقدر عقوب,"['أول', 'ناس', 'عفو', 'أقدر', 'عقوب']","['أَوَّل', 'ناس', 'عَفْو', 'أَقْدَر', 'عقوب']",أَوَّل ناس عَفْو أَقْدَر عقوب
 إياك وما يعتذر منه.,Sentiment: negative,['يعتذر'],عتذر,['عتذر'],['عتذر'],عتذر
 بِشْرُ الكريم في وجهه يلوح.,Sentiment: positive,"['بشر', 'الكريم', 'جهه', 'يلوح']",بشر كريم جه لوح,"['بشر', 'كريم', 'جه', 'لوح']","['بَشَر', 'كرِيم', 'جه', 'لَوَّح']",بَشَر كرِيم جه لَوَّح
 بيت المحسن عمار.,Sentiment: positive,"['بيت', 'المحسن', 'عمار']",بيت محسن عمار,"['بيت', 'محسن', 'عمار']","['بَيْت', 'مُحَسِّن', 'عَمّار']",بَيْت مُحَسِّن عَمّار
 تاج المروءة التواضع.,Good Moral: تَواضُع,"['تاج', 'المرواة', 'التواضع']",تاج المرواة تواضع,"['تاج', 'المرواة', 'تواضع']","['تاج', 'المرواة', 'تَواضَع']",تاج المرواة تَواضَع
 ترك الذنب أيسر من الاعتذار.,Sentiment: neutral,"['الذنب', 'أيسر', 'الاعتذار']",ذنب أيسر ٱعتذار,"['ذنب', 'أيسر', 'ٱعتذار']","['ذَنْب', 'أَيْسَر', 'ٱِعْتِذار']",ذَنْب أَيْسَر ٱِعْتِذار
 تمام الصدق الإخبار بما تحمله العقول.,Good Moral: صِدْق,"['تمام', 'الصدق', 'الإخبار', 'تحمله', 'العقول']",تمام صدق إخبار تحمل عقول,"['تمام', 'صدق', 'إخبار', 'تحمل', 'عقول']","['تَمام', 'صِدْق', 'إِخْبار', 'تَحَمُّل', 'عَقُول']",تَمام صِدْق إِخْبار تَحَمُّل عَقُول
 تناسَ مساوئ الاخوان يدم لك وُدُّهُمْ.,Sentiment: negative,"['تناس', 'مساوئ', 'الاخوان', 'يدم', 'دهم']",تناس مساوئ أخو دم دهم,"['تناس', 'مساوئ', 'أخو', 'دم', 'دهم']","['تناس', 'مَساوِئ', 'أَخُو', 'دَم', 'دَهَّم']",تناس مَساوِئ أَخُو دَم دَهَّم
 حُسْنُ الخلق خير قرين.,Sentiment: positive,"['حسن', 'الخلق', 'خير', 'قرين']",حسن خلق خير قري,"['حسن', 'خلق', 'خير', 'قري']","['حَسَن', 'خَلَّق', 'خَيْر', 'قَرّ']",حَسَن خَلَّق خَيْر قَرّ
 حُسْنُ الخلق يذيب الخطايا كما تذيب الشمس الجليد.,Sentiment: neutral,"['حسن', 'الخلق', 'يذيب', 'الخطايا', 'تذيب', 'الشمس', 'الجليد']",حسن خلق ذيب خطايا ذيب شمس جليد,"['حسن', 'خلق', 'ذيب', 'خطايا', 'ذيب', 'شمس', 'جليد']","['حَسَن', 'خَلَّق', 'ذيب', 'خَطايا', 'ذيب', 'شَمِس', 'جَلِيد']",حَسَن خَلَّق ذيب خَطايا ذيب شَمِس جَلِيد
 حُسْنُ الخلق يوجب المودة.,Sentiment: positive,"['حسن', 'الخلق', 'يوجب', 'المودة']",حسن خلق وجب مود,"['حسن', 'خلق', 'وجب', 'مود']","['حَسَن', 'خَلَّق', 'وَجَب', 'مود']",حَسَن خَلَّق وَجَب مود
 حق من كتب بمسك أن يختم بعنبر.,Sentiment: negative,"['حق', 'كتب', 'بمسك', 'يختم', 'بعنبر']",حق كتب مس ختم عنبر,"['حق', 'كتب', 'مس', 'ختم', 'عنبر']","['حَقّ', 'كُتُب', 'مَسّ', 'خَتْم', 'عَنْبَر']",حَقّ كُتُب مَسّ خَتْم عَنْبَر
 خلقت مُبَرَّأً من كل عيب كأنك قد خُلقْتَ كما تشاء.,Sentiment: positive,"['خلقت', 'مبرأ', 'عيب', 'كأنك', 'خلقت', 'تشاا']",خلق مبرأ عيب كأن خلق تشاا,"['خلق', 'مبرأ', 'عيب', 'كأن', 'خلق', 'تشاا']","['خَلَّق', 'مبرأ', 'عَيْب', 'كَأَنَّ', 'خَلَّق', 'تشاا']",خَلَّق مبرأ عَيْب كَأَنَّ خَلَّق تشاا
 خير الناس للناس خيرهم لنفسه.,Sentiment: positive,"['خير', 'الناس', 'للناس', 'خيرهم', 'لنفسه']",خير ناس ناس خير نفس,"['خير', 'ناس', 'ناس', 'خير', 'نفس']","['خَيْر', 'ناس', 'ناس', 'خَيْر', 'نَفَس']",خَيْر ناس ناس خَيْر نَفَس
 خير الناس من فرح للناس بالخير.,Sentiment: positive,"['خير', 'الناس', 'فرح', 'للناس', 'بالخير']",خير ناس فرح ناس خير,"['خير', 'ناس', 'فرح', 'ناس', 'خير']","['خَيْر', 'ناس', 'فَرَح', 'ناس', 'خَيْر']",خَيْر ناس فَرَح ناس خَيْر
 خير صِلاتِ الكريم أَعْوَدُها.,Sentiment: positive,"['خير', 'صلات', 'الكريم', 'أعودها']",خير صل كريم عود,"['خير', 'صل', 'كريم', 'عود']","['خَيْر', 'صل', 'كرِيم', 'عُود']",خَيْر صل كرِيم عُود
 ساقي القوم آخرهم شراباً.,Sentiment: negative,"['ساقي', 'القوم', 'آخرهم', 'شرابا']",ساق قوم آخر شراب,"['ساق', 'قوم', 'آخر', 'شراب']","['ساق', 'قَوْم', 'آخَر', 'شُرّاب']",ساق قَوْم آخَر شُرّاب
 سر النجاح على الدوام هو أن تسير إلى الأمام.,Sentiment: positive,"['سر', 'النجاح', 'الدوام', 'تسير', 'الأمام']",سر نجاح دوام سير إمام,"['سر', 'نجاح', 'دوام', 'سير', 'إمام']","['سُرّ', 'نَجاح', 'دَوام', 'سَيْر', 'إِمام']",سُرّ نَجاح دَوام سَيْر إِمام
